train_loss,epoch,step,valid_loss,valid_mae,train_mae,test_mae
22.12754249572754,0,0,,,,
20.624515533447266,0,1,,,,
22.43624496459961,0,2,,,,
22.060134887695312,0,3,,,,
21.321542739868164,0,4,,,,
20.844324111938477,0,5,,,,
20.009937286376953,0,6,,,,
20.450191497802734,0,7,,,,
19.44357681274414,0,8,,,,
20.538877487182617,0,9,,,,
19.809080123901367,0,10,,,,
,0,10,16.352619171142578,0.9375,,
,0,10,,,1.0227272510528564,
19.162700653076172,1,11,,,,
18.88133430480957,1,12,,,,
19.382572174072266,1,13,,,,
19.09125328063965,1,14,,,,
18.784799575805664,1,15,,,,
18.55795669555664,1,16,,,,
17.533044815063477,1,17,,,,
17.936899185180664,1,18,,,,
17.902061462402344,1,19,,,,
18.232051849365234,1,20,,,,
18.195735931396484,1,21,,,,
,1,21,15.179544448852539,0.75,,
,1,21,,,0.84375,
17.45450210571289,2,22,,,,
17.99567413330078,2,23,,,,
17.544719696044922,2,24,,,,
17.910547256469727,2,25,,,,
17.651329040527344,2,26,,,,
17.497562408447266,2,27,,,,
16.488996505737305,2,28,,,,
16.791786193847656,2,29,,,,
16.52069854736328,2,30,,,,
16.575716018676758,2,31,,,,
17.168367385864258,2,32,,,,
,2,32,14.354080200195312,0.7250000238418579,,
,2,32,,,0.7144886255264282,
16.409465789794922,3,33,,,,
16.520183563232422,3,34,,,,
16.154081344604492,3,35,,,,
17.32840347290039,3,36,,,,
16.586355209350586,3,37,,,,
16.31157112121582,3,38,,,,
15.691990852355957,3,39,,,,
15.79231071472168,3,40,,,,
15.118746757507324,3,41,,,,
15.104787826538086,3,42,,,,
16.039382934570312,3,43,,,,
,3,43,13.791157722473145,0.7124999761581421,,
,3,43,,,0.6420454382896423,
15.853256225585938,4,44,,,,
15.203953742980957,4,45,,,,
14.823779106140137,4,46,,,,
17.010160446166992,4,47,,,,
15.644559860229492,4,48,,,,
15.491406440734863,4,49,,,,
15.154583930969238,4,50,,,,
15.21764850616455,4,51,,,,
13.913098335266113,4,52,,,,
14.150591850280762,4,53,,,,
15.21275520324707,4,54,,,,
,4,54,13.181022644042969,0.699999988079071,,
,4,54,,,0.6377840638160706,
15.35969352722168,5,55,,,,
14.193163871765137,5,56,,,,
13.770092964172363,5,57,,,,
16.573699951171875,5,58,,,,
14.752197265625,5,59,,,,
14.684887886047363,5,60,,,,
14.623727798461914,5,61,,,,
14.45953369140625,5,62,,,,
12.922983169555664,5,63,,,,
13.34906005859375,5,64,,,,
14.333333015441895,5,65,,,,
,5,65,12.599326133728027,0.6499999761581421,,
,5,65,,,0.6122159361839294,
14.882957458496094,6,66,,,,
13.304061889648438,6,67,,,,
13.007960319519043,6,68,,,,
16.187137603759766,6,69,,,,
13.822810173034668,6,70,,,,
13.858599662780762,6,71,,,,
14.086111068725586,6,72,,,,
13.520004272460938,6,73,,,,
12.055962562561035,6,74,,,,
12.544992446899414,6,75,,,,
13.49500846862793,6,76,,,,
,6,76,11.977128028869629,0.574999988079071,,
,6,76,,,0.5653409361839294,
14.397297859191895,7,77,,,,
12.459808349609375,7,78,,,,
12.245248794555664,7,79,,,,
15.785733222961426,7,80,,,,
12.925771713256836,7,81,,,,
13.059770584106445,7,82,,,,
13.559919357299805,7,83,,,,
12.74914264678955,7,84,,,,
11.254223823547363,7,85,,,,
11.84330940246582,7,86,,,,
12.708844184875488,7,87,,,,
,7,87,11.297872543334961,0.512499988079071,,
,7,87,,,0.49289771914482117,
13.822954177856445,8,88,,,,
11.706937789916992,8,89,,,,
11.47182559967041,8,90,,,,
15.382586479187012,8,91,,,,
12.117901802062988,8,92,,,,
12.335359573364258,8,93,,,,
12.997271537780762,8,94,,,,
12.038799285888672,8,95,,,,
10.592917442321777,8,96,,,,
11.160693168640137,8,97,,,,
12.032949447631836,8,98,,,,
,8,98,10.711308479309082,0.48750001192092896,,
,8,98,,,0.4332386255264282,
13.194211959838867,9,99,,,,
11.026236534118652,9,100,,,,
10.757352828979492,9,101,,,,
14.935897827148438,9,102,,,,
11.42913818359375,9,103,,,,
11.656549453735352,9,104,,,,
12.430882453918457,9,105,,,,
11.362815856933594,9,106,,,,
10.073661804199219,9,107,,,,
10.570611000061035,9,108,,,,
11.50483226776123,9,109,,,,
,9,109,10.17335319519043,0.4625000059604645,,
,9,109,,,0.4019886255264282,
12.602642059326172,10,110,,,,
10.415194511413574,10,111,,,,
10.117635726928711,10,112,,,,
14.463603019714355,10,113,,,,
10.867548942565918,10,114,,,,
11.004748344421387,10,115,,,,
11.898419380187988,10,116,,,,
10.797220230102539,10,117,,,,
9.584393501281738,10,118,,,,
10.031551361083984,10,119,,,,
11.095090866088867,10,120,,,,
,10,120,9.717168807983398,0.4625000059604645,,
,10,120,,,0.3792613744735718,
12.039016723632812,11,121,,,,
9.872152328491211,11,122,,,,
9.54608154296875,11,123,,,,
13.992067337036133,11,124,,,,
10.419146537780762,11,125,,,,
10.487165451049805,11,126,,,,
11.406776428222656,11,127,,,,
10.341721534729004,11,128,,,,
9.179327964782715,11,129,,,,
9.59196949005127,11,130,,,,
10.758437156677246,11,131,,,,
,11,131,9.337234497070312,0.4625000059604645,,
,11,131,,,0.36221590638160706,
11.534512519836426,12,132,,,,
9.411176681518555,12,133,,,,
8.993870735168457,12,134,,,,
13.59577465057373,12,135,,,,
10.067436218261719,12,136,,,,
10.059118270874023,12,137,,,,
11.004350662231445,12,138,,,,
10.014599800109863,12,139,,,,
8.803218841552734,12,140,,,,
9.183029174804688,12,141,,,,
10.505620956420898,12,142,,,,
,12,142,9.076383590698242,0.4625000059604645,,
,12,142,,,0.35227271914482117,
11.031042098999023,13,143,,,,
9.090986251831055,13,144,,,,
8.561258316040039,13,145,,,,
13.236547470092773,13,146,,,,
9.726163864135742,13,147,,,,
9.721277236938477,13,148,,,,
10.655461311340332,13,149,,,,
9.77253246307373,13,150,,,,
8.451765060424805,13,151,,,,
8.836347579956055,13,152,,,,
10.299489974975586,13,153,,,,
,13,153,8.85598087310791,0.42500001192092896,,
,13,153,,,0.3380681872367859,
10.632914543151855,14,154,,,,
8.821742057800293,14,155,,,,
8.202004432678223,14,156,,,,
12.844525337219238,14,157,,,,
9.375473022460938,14,158,,,,
9.466954231262207,14,159,,,,
10.336819648742676,14,160,,,,
9.506837844848633,14,161,,,,
8.163915634155273,14,162,,,,
8.538911819458008,14,163,,,,
10.081779479980469,14,164,,,,
,14,164,8.633792877197266,0.375,,
,14,164,,,0.3394886255264282,
10.24181079864502,15,165,,,,
8.613750457763672,15,166,,,,
7.893629550933838,15,167,,,,
12.600140571594238,15,168,,,,
9.129210472106934,15,169,,,,
9.21115493774414,15,170,,,,
10.060648918151855,15,171,,,,
9.283380508422852,15,172,,,,
7.953132629394531,15,173,,,,
8.29218864440918,15,174,,,,
9.92596435546875,15,175,,,,
,15,175,8.472990989685059,0.375,,
,15,175,,,0.33664771914482117,
9.862833023071289,16,176,,,,
8.408334732055664,16,177,,,,
7.65120792388916,16,178,,,,
12.331305503845215,16,179,,,,
8.866498947143555,16,180,,,,
9.064281463623047,16,181,,,,
9.83074951171875,16,182,,,,
9.107693672180176,16,183,,,,
7.754688262939453,16,184,,,,
8.078312873840332,16,185,,,,
9.80248737335205,16,186,,,,
,16,186,8.326836585998535,0.3499999940395355,,
,16,186,,,0.33664771914482117,
9.53661060333252,17,187,,,,
8.225210189819336,17,188,,,,
7.418417930603027,17,189,,,,
12.108125686645508,17,190,,,,
8.67575454711914,17,191,,,,
8.91550064086914,17,192,,,,
9.64929485321045,17,193,,,,
8.945833206176758,17,194,,,,
